Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path,Duration(m)
أسماك العجمي,restaurant,16.0,4.7,46.7184852,24.6105679,Manfouhah,منفوحة,POINT (46.7184852 24.6105679),حي منفوحة الجديدة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.,59
,restaurant,3.0,2.3,46.6199523,24.8218034,SAB,بنك الأول,POINT (46.6199523 24.8218034),حي الصحافة,Kunafa,بنك الأول,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك الأول.,31
,restaurant,74.0,4.2,46.7169092,24.6446318,National Museum,المتحف الوطني,POINT (46.7169092 24.6446318),حي الفوطة,Canteen Express Batha,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
,bakery,11158.0,4.2,46.7226815,24.6941192,Officers Club,نادي الضباط,POINT (46.7226815 24.6941192),حي الملك عبدالعزيز,Wooden Bakery,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.,55
مطعم ركن المغرف البخاري,restaurant,29.0,4.2,46.72285,24.6065634,Manfouhah,منفوحة,POINT (46.72285 24.6065634),حي اليمامة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.,59
,restaurant,5.0,1.8,46.7298896,24.6193503,Skirinah,سكيرينة,POINT (46.7298896 24.6193503),حي غبيرة,Matam yemeni,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.,58
& قدرة وفطير,restaurant,513.0,4.6,46.7117445,24.7079812,Ad Dhabab,الضباب,POINT (46.7117445 24.7079812),حي الملك عبدالعزيز,Qdrah Fteer,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.,51
فوال دكة الطائف للأكلات الشعبية,restaurant,53.0,4.2,46.8472064,24.7150001,Hassan Bin Thabit street,شارع حسان بن ثابت,POINT (46.8472064 24.7150001),حي النسيم الغربي,,شارع حسان بن ثابت,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة شارع حسان بن ثابت.,51
,restaurant,3408.0,4.4,46.6744736,24.7114797,Al Urubah,العروبة,POINT (46.6744736 24.7114797),حي الجزيرة,Al Mamlaka Social Dining,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.,37
,restaurant,7125.0,4.1,46.7053057,24.7011578,Ad Dhabab,الضباب,POINT (46.7053057 24.7011578),حي الملك عبدالعزيز,San Carlo Cicchetti,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.,51
بوفيه خرم,restaurant,2.0,3.0,46.7402428,24.634285,As Salhiyah,الصالحية,POINT (46.7402428 24.634285),حي الصناعية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.,62
,restaurant,1256.0,4.1,46.6790736,24.7420601,King Abdulaziz Road,طريق الملك عبدالعزيز,POINT (46.6790736 24.7420601),حي الورود,Applebee s,طريق الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة طريق الملك عبدالعزيز.,41
بوفية القحطاني,restaurant,12.0,3.2,46.77848,24.7741343,Al Hamra,الحمراء,POINT (46.77848 24.7741343),حي الحمراء,,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.,30
فوال عبدالله محمد سليمان الدرع,restaurant,1.0,5.0,46.696815,24.6594934,Passport Department,الجوازات,POINT (46.696815 24.6594934),حي النموذجية,,الجوازات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الجوازات.,48
,restaurant,310.0,4.4,46.6648363,24.7377813,King Fahd District 2,حي الملك فهد 2,POINT (46.6648363 24.7377813),حي الملك فيصل,KASA,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.,32
مشلتت نوال,restaurant,44.0,4.3,46.6409658,24.5991559,Aishah bint Abi Bakr st.,شارع عائشة بنت أبي بكر,POINT (46.6409658 24.5991559),حي البديعة,,شارع عائشة بنت أبي بكر,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة شارع عائشة بنت أبي بكر.,75
